TargetID,GI_16507207-S,GI_21729887-A,GI_23312375-A,GI_24308166-S,GI_34335274-A,GI_37547175-S,GI_44917603-S,GI_4585642-S
C,True,False,False,False,True,True,True,True
C,True,False,False,False,False,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,True,True,True,False,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,True,True,True,True,False,True
C,True,False,False,False,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,False,True
C,False,False,False,False,True,True,False,True
C,True,False,False,False,True,True,True,True
C,True,False,False,True,True,True,False,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,True,True,True,True,True,False,True
C,True,False,True,True,False,False,True,True
C,True,False,False,False,False,False,True,True
C,True,True,False,True,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,True,False,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,True,False,False,True,False,False
C,False,False,False,False,False,True,True,True
C,False,False,True,False,True,False,False,False
C,False,True,False,True,True,True,False,True
C,True,False,True,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,True,False,True,False,False,True
C,False,True,True,True,False,True,False,True
C,True,False,True,True,True,True,True,True
C,False,False,True,True,False,False,False,True
C,True,False,False,False,True,True,True,True
C,True,False,True,False,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,False,True,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,True,False,False,True,False,True,False
C,True,False,True,False,True,False,False,False
C,True,True,False,False,True,True,False,True
C,True,True,False,True,True,True,False,False
C,True,True,True,True,True,True,False,True
C,True,True,False,False,True,True,True,True
C,False,True,True,False,False,True,False,True
C,False,False,False,True,True,True,True,True
C,False,False,False,True,False,False,False,False
C,True,False,False,False,False,True,True,True
C,False,True,True,True,True,False,False,False
C,False,True,True,True,True,False,False,False
C,False,True,True,False,True,True,False,False
C,False,True,True,True,True,True,True,True
C,False,True,True,True,True,True,False,False
C,False,True,True,True,True,True,False,False
C,True,False,False,False,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,True,True,True,False,True
C,False,True,False,False,True,False,False,False
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,False
C,True,False,False,False,True,True,True,True
C,False,False,True,False,False,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,True,True,True,True,True
C,True,False,False,False,True,True,False,True
C,True,False,False,False,True,True,True,True
C,True,True,True,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,False,True,True
C,True,False,False,False,True,False,True,True
C,True,True,True,True,False,True,False,True
C,True,True,False,False,True,True,True,True
C,True,False,False,False,False,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,True,True,True,False,False,False,True
C,False,False,False,True,False,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,False,False,True,False,True,True
C,True,True,False,True,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,True,True,True,False,True,False,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,True,True,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,True,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,True,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,True,True,True,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,False,True
C,True,False,True,False,True,False,False,True
C,False,True,False,True,True,True,True,True
C,False,False,True,True,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,False,False,False,False
C,True,False,True,True,False,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,True,True,False,True,False,True
C,True,False,True,True,True,True,False,True
C,True,False,False,False,True,False,True,False
C,True,True,False,True,False,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,False,True,True
C,True,False,True,False,True,True,True,True
C,False,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,True,False,True,True,False,True
C,True,False,False,False,False,True,False,True
C,True,False,False,False,True,True,True,True
C,False,True,False,False,True,False,False,False
C,True,False,False,False,True,True,True,True
C,True,False,False,False,False,True,True,True
C,True,False,False,False,True,False,True,True
C,False,False,False,False,True,True,False,True
C,True,False,False,False,True,True,True,True
C,True,False,False,True,True,True,True,True
C,True,True,True,False,True,True,True,True
C,True,False,False,True,True,True,True,True
C,True,False,False,True,True,True,False,True
C,False,False,False,True,False,True,True,True
C,True,True,True,True,True,True,False,True
C,True,True,False,True,False,True,False,True
C,False,False,False,False,True,True,True,True
C,False,False,False,False,False,True,True,True
C,True,False,False,False,True,False,True,False
C,True,False,False,False,True,False,True,False
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
