TargetID,GI_23312375-A,GI_4585642-S
A,False,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,True
A,True,False
A,True,False
A,False,False
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,False,False
A,True,False
A,False,False
A,True,False
A,False,False
A,True,False
A,True,False
A,True,True
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,False,False
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,True
A,True,False
A,False,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,False,False
A,True,False
A,True,False
A,True,False
A,True,True
A,False,True
A,True,True
A,True,False
A,False,True
A,False,True
A,True,False
A,True,False
A,True,True
A,True,True
A,True,False
A,True,False
A,True,False
A,False,True
A,True,False
A,True,False
A,False,True
A,True,False
A,True,False
A,True,True
A,True,False
A,False,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,False,False
A,False,True
A,False,False
A,False,True
A,False,True
A,False,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,False,True
A,False,False
A,False,True
A,True,False
A,True,False
A,True,False
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,True
A,True,False
A,True,False
A,True,False
A,True,False
A,False,True
A,False,True
A,True,False
A,True,True
A,False,False
A,True,False
A,True,False
A,True,False
A,False,False
A,False,False
A,True,False
A,True,False
A,True,True
A,True,True
A,True,False
A,True,False
A,False,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,True,False
A,False,False
A,True,False
A,True,False
A,True,False
C,True,False
C,False,False
C,False,False
C,False,True
C,False,True
C,False,True
C,False,False
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,False
C,False,True
C,True,False
C,False,True
C,True,True
C,False,True
C,True,True
C,True,True
C,True,True
C,True,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,False
C,True,False
C,False,True
C,False,False
C,True,True
C,False,True
C,True,True
C,False,True
C,False,False
C,False,True
C,True,False
C,True,False
C,True,False
C,True,True
C,True,False
C,True,False
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,False
C,False,True
C,False,True
C,False,False
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,True,True
C,False,True
C,True,True
C,False,True
C,False,True
C,True,True
C,False,True
C,True,True
C,False,True
C,False,False
C,True,True
C,False,True
C,False,True
C,True,True
C,True,True
C,False,False
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,False
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,True,True
C,False,True
C,False,True
C,False,True
C,False,False
C,False,False
C,False,True
C,False,True
